Capital,State,Abbreviation,Latitude,Longitude,Population (2023 US Census Estimate)
Montgomery,Alabama,AL,32.361538,-86.279118,195287
Juneau,Alaska,AK,58.301935,-134.41974,31555
Phoenix,Arizona,AZ,33.448457,-112.073844,1650070
Little Rock,Arkansas,AR,34.736009,-92.331122,203842
Sacramento,California,CA,38.555605,-121.468926,526384
Denver,Colorado,CO,39.7391667,-104.984167,716577
Hartford,Connecticut,CT,41.767,-72.677,119669
Dover,Delaware,DE,39.161921,-75.526755,39894
Tallahassee,Florida,FL,30.4518,-84.27277,202221
Atlanta,Georgia,GA,33.76,-84.39,510823
Honolulu,Hawaii,HI,21.30895,-157.826182,341778
Boise,Idaho,ID,43.613739,-116.237651,235421
Springfield,Illinois,IL,39.78325,-89.650373,112544
Indianapolis,Indiana,IN,39.790942,-86.147685,879293
Des Moines,Iowa,IA,41.590939,-93.620866,210381
Topeka,Kansas,KS,39.04,-95.69,125475
Frankfort,Kentucky,KY,38.197274,-84.86311,28285
Baton Rouge,Louisiana,LA,30.45809,-91.140229,219573
Augusta,Maine,ME,44.323535,-69.765261,19102
Annapolis,Maryland,MD,38.972945,-76.501157,40552
Boston,Massachusetts,MA,42.2352,-71.0275,653833
Lansing,Michigan,MI,42.7335,-84.5467,112115
Saint Paul,Minnesota,MN,44.95,-93.094,303820
Jackson,Mississippi,MS,32.32,-90.207,143709
Jefferson City,Missouri,MO,38.572954,-92.189283,42552
Helena,Montana,MT,46.595805,-112.027031,34464
Lincoln,Nebraska,NE,40.809868,-96.675345,294757
Carson City,Nevada,NV,39.160949,-119.753877,58036
Concord,New Hampshire,NH,43.220093,-71.549127,44629
Trenton,New Jersey,NJ,40.221741,-74.756138,89620
Santa Fe,New Mexico,NM,35.667231,-105.964575,89167
Albany,New York,NY,42.659829,-73.781339,101228
Raleigh,North Carolina,NC,35.771,-78.638,482295
Bismarck,North Dakota,ND,48.813343,-100.779004,75092
Columbus,Ohio,OH,39.962245,-83.000647,913175
Oklahoma City,Oklahoma,OK,35.482309,-97.534994,702767
Salem,Oregon,OR,44.931109,-123.029159,177432
Harrisburg,Pennsylvania,PA,40.269789,-76.875613,50012
Providence,Rhode Island,RI,41.82355,-71.422132,190792
Columbia,South Carolina,SC,34,-81.035,142416
Pierre,South Dakota,SD,44.367966,-100.336378,13880
Nashville,Tennessee,TN,36.165,-86.784,687788
Austin,Texas,TX,30.266667,-97.75,979882
Salt Lake City,Utah,UT,40.7547,-111.892622,209593
Montpelier,Vermont,VT,44.26639,-72.57194,7991
Richmond,Virginia,VA,37.54,-77.46,229247
Olympia,Washington,WA,47.042418,-122.893077,55733
Charleston,West Virginia,WV,38.349497,-81.633294,46838
Madison,Wisconsin,WI,43.074722,-89.384444,280305
Cheyenne,Wyoming,WY,41.145548,-104.802042,65168